algsetting,avg,nfails,min,max,stddev
dualp-pesteep-presolve-more-scal-equi-subs-12-psi-0.51-pertv--1024-passp-66-duals,441.228,28,1591.8
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-subs-24-psi-0.51-pertv--136-passp-66-duals,599.299,45,1949.05
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-6-psi-0.51-pertv--1024-passp-66-duals,442.683,28,1592.08
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-subs-24-psi-0.51-pertv--1024-passp-66-duals,443.805,28,1591.73
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-subs-12-psi-0.51-pertv--1024-passp-66-duals,453.068,29,1618.61
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-48-psi-0.51-pertv--136-passp-66-duals,598.236,44,1937.34
dualp-pesteep-presolve-more-scal-equi-spars-off-subs-48-psi-0.51-pertv--1024-passp-66-duals,445.839,29,1610.37
dualp-pesteep-presolve-more-scal-equi-spars-off-subs-6-psi-0.51-pertv--1024-passp-66-duals,414.205,26,1535.56
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-subs-48-psi-0.51-pertv--1024-passp-66-duals,447.461,28,1595.86
dualp-pesteep-presolve-more-scal-equi-subs-6-psi-0.51-pertv--136-passp-66-duals,556.798,40,1855.69
dualp-pesteep-presolve-more-scal-equi-spars-off-subs-12-psi-0.51-pertv--1024-passp-66-duals,433.928,27,1569.23
dualp-pesteep-presolve-more-scal-equi-spars-off-subs-24-psi-0.51-pertv--1024-passp-66-duals,451.176,30,1630.8
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-12-psi-0.51-pertv--136-passp-66-duals,579.104,42,1899.02
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-48-psi-0.51-pertv--1024-passp-66-duals,428.034,27,1563.62
dualp-pesteep-presolve-more-scal-equi-spars-off-subs-24-psi-0.51-pertv--136-passp-66-duals,597.777,44,1934.07
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-subs-6-psi-0.51-pertv--1024-passp-66-duals,443.208,29,1609.45
dualp-pesteep-presolve-more-scal-equi-spars-off-subs-12-psi-0.51-pertv--136-passp-66-duals,597.505,44,1934.24
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-spars-off-subs-24-psi-0.51-pertv--1024-passp-66-duals,433.851,27,1569.68
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-subs-12-psi-0.51-pertv--136-passp-66-duals,612.781,45,1957.78
dualp-pesteep-presolve-more-scal-equi-spars-off-subs-6-psi-0.51-pertv--136-passp-66-duals,578.114,42,1893.43
dualp-pesteep-presolve-more-scal-equi-subs-48-psi-0.51-pertv--136-passp-66-duals,577.219,42,1894.89
dualize-0-crash-idiot7-dualp-pesteep-presolve-more-scal-equi-subs-6-psi-0.51-pertv--136-passp-66-duals,562.172,40,1856.61
